-0.044564 0.0465391 0.0132691 -0.0209983
-0.0436332 0.241468 0.0128491 -0.309465
-0.0388038 0.0461656 0.00665982 -0.012758
-0.0378805 0.241191 0.00640466 -0.303332
-0.0330567 0.0459788 0.00033802 -0.0086363
-0.0321371 0.241096 0.000165294 -0.301213
-0.0273152 0.0459716 -0.00585896 -0.0084775
-0.0263958 0.241177 -0.00602851 -0.303003
-0.0215722 0.436384 -0.0120886 -0.597581
-0.0128446 0.241434 -0.0240402 -0.308731
-0.00801588 0.0466624 -0.0302148 -0.0237251
-0.00708263 0.242204 -0.0306893 -0.325786
-0.00223854 0.437749 -0.037205 -0.627987
0.00651645 0.243166 -0.0497648 -0.347249
0.0113798 0.0487859 -0.0567098 -0.070665
0.0123555 0.244673 -0.058123 -0.380687
0.0172489 0.0504226 -0.0657368 -0.106882
0.0182574 0.246422 -0.0678744 -0.419559
0.0231858 0.0523241 -0.0762656 -0.149022
0.0242323 -0.141628 -0.0792461 0.118659
0.0213998 -0.33553 -0.0768729 0.385326
0.0146892 -0.139406 -0.0691663 0.0694302
0.0119011 0.0566363 -0.0677777 -0.244248
0.0130338 -0.137455 -0.0726627 0.0263094
0.0102847 -0.331464 -0.0721365 0.295211
0.00365539 -0.135392 -0.0662323 -0.0193226
0.000947551 -0.329505 -0.0666187 0.25175
-0.00564254 -0.523615 -0.0615838 0.522698
-0.0161148 -0.327683 -0.0511298 0.211263
-0.0226685 -0.131869 -0.0469045 -0.0971002
-0.0253059 -0.326288 -0.0488465 0.180423
-0.0318316 -0.520678 -0.0452381 0.457306
-0.0422452 -0.715132 -0.0360919 0.735393
-0.0565478 -0.519531 -0.0213841 0.431573
-0.0669385 -0.324113 -0.0127526 0.132227
-0.0734207 -0.128811 -0.0101081 -0.164452
-0.0759969 0.0664546 -0.0133971 -0.460307
-0.0746678 -0.128475 -0.0226033 -0.171876
-0.0772374 -0.323267 -0.0260408 0.113591
-0.0837027 -0.518006 -0.023769 0.397946
-0.0940628 -0.322555 -0.0158101 0.0978648
-0.100514 -0.12721 -0.0138528 -0.199764
-0.103058 -0.322131 -0.017848 0.0885171
-0.109501 -0.126758 -0.0160777 -0.209743
-0.112036 -0.321646 -0.0202726 0.0778252
-0.118469 -0.516472 -0.0187161 0.364044
-0.128798 -0.321089 -0.0114352 0.0655185
-0.13522 -0.516045 -0.0101248 0.354572
-0.145541 -0.320781 -0.00303338 0.0587135
-0.151957 -0.125616 -0.00185911 -0.234925
-0.154469 -0.320711 -0.00655761 0.057171
-0.160883 -0.125496 -0.00541419 -0.237574
